original_index,y_orig,y_target,n_particles,n_nodes,distance ,n_detections,calls,detections_per_node                       ,distribution_scheme,source_step,spherical_step,dataset,source_step_multiplier_up,source_step_multiplier_down
7270          ,1     ,3       ,5          ,5      ,2.4076076,150         ,25017,"[33, 32, 30, 29, 26]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
7270          ,1     ,3       ,5          ,10     ,2.4076076,133         ,25017,"[15, 13, 12, 14, 16, 12, 11, 13, 13, 14]",distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
860           ,6     ,7       ,5          ,5      ,3.7782803,89          ,25029,"[16, 17, 18, 19, 19]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
860           ,6     ,7       ,5          ,10     ,3.7782803,73          ,25029,"[7, 7, 8, 6, 8, 7, 8, 7, 7, 8]"          ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
6265          ,4     ,2       ,5          ,5      ,3.2908084,147         ,25046,"[29, 27, 28, 32, 31]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
6265          ,4     ,2       ,5          ,10     ,3.2908084,126         ,25046,"[14, 13, 13, 13, 13, 12, 13, 11, 12, 12]",distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
4426          ,9     ,7       ,5          ,5      ,1.8306835,104         ,25001,"[24, 19, 21, 22, 18]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
4426          ,9     ,7       ,5          ,10     ,1.8306835,83          ,25001,"[8, 7, 8, 8, 9, 8, 8, 10, 8, 9]"         ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
8322          ,9     ,5       ,5          ,5      ,2.4176242,159         ,25065,"[35, 31, 31, 29, 33]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
8322          ,9     ,5       ,5          ,10     ,2.4176242,142         ,25065,"[13, 15, 14, 15, 14, 14, 14, 13, 15, 15]",distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
769           ,6     ,7       ,5          ,5      ,3.2082303,16          ,25103,"[2, 4, 4, 2, 4]"                         ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
769           ,6     ,7       ,5          ,10     ,3.2082303,0           ,25103,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"          ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
6949          ,2     ,1       ,5          ,5      ,2.774282 ,158         ,25055,"[31, 32, 32, 30, 33]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
6949          ,2     ,1       ,5          ,10     ,2.774282 ,133         ,25055,"[16, 14, 14, 14, 12, 12, 13, 13, 12, 13]",distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
5311          ,9     ,4       ,5          ,5      ,1.5948184,196         ,25042,"[42, 38, 41, 40, 35]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
5311          ,9     ,4       ,5          ,10     ,1.5948184,181         ,25042,"[20, 20, 17, 18, 18, 19, 16, 17, 17, 19]",distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
1184          ,2     ,9       ,5          ,5      ,2.7266335,42          ,25083,"[9, 7, 8, 9, 9]"                         ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
1184          ,2     ,9       ,5          ,10     ,2.7266335,27          ,25083,"[3, 3, 2, 3, 2, 3, 3, 2, 3, 3]"          ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
6396          ,4     ,8       ,5          ,5      ,2.6201591,105         ,25097,"[22, 20, 21, 20, 22]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
6396          ,4     ,8       ,5          ,10     ,2.6201591,81          ,25097,"[8, 7, 10, 7, 8, 8, 8, 10, 6, 9]"        ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
8666          ,1     ,9       ,5          ,5      ,2.6527565,149         ,25014,"[30, 29, 29, 30, 31]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
8666          ,1     ,9       ,5          ,10     ,2.6527565,119         ,25014,"[12, 11, 12, 13, 11, 12, 11, 11, 13, 13]",distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
2047          ,6     ,2       ,5          ,5      ,2.7902315,57          ,25004,"[9, 13, 13, 10, 12]"                     ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
2047          ,6     ,2       ,5          ,10     ,2.7902315,44          ,25004,"[5, 5, 5, 5, 5, 4, 3, 4, 4, 4]"          ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
1899          ,8     ,6       ,5          ,5      ,3.605195 ,88          ,25000,"[23, 15, 20, 13, 17]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
1899          ,8     ,6       ,5          ,10     ,3.605195 ,67          ,25000,"[10, 6, 6, 6, 6, 6, 6, 8, 7, 6]"         ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
1267          ,8     ,2       ,5          ,5      ,3.0455158,68          ,25006,"[15, 14, 13, 13, 13]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
1267          ,8     ,2       ,5          ,10     ,3.0455158,50          ,25006,"[4, 6, 5, 5, 5, 6, 4, 5, 5, 5]"          ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
3556          ,5     ,2       ,5          ,5      ,2.5395494,175         ,25018,"[37, 36, 35, 34, 33]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
3556          ,5     ,2       ,5          ,10     ,2.5395494,154         ,25018,"[15, 16, 15, 15, 18, 16, 15, 15, 14, 15]",distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
8838          ,2     ,4       ,5          ,5      ,2.086038 ,57          ,25004,"[11, 11, 14, 11, 10]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
8838          ,2     ,4       ,5          ,10     ,2.086038 ,41          ,25004,"[4, 4, 4, 5, 4, 4, 5, 4, 4, 3]"          ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
5393          ,4     ,3       ,5          ,5      ,4.1879363,25          ,25046,"[5, 5, 5, 4, 6]"                         ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
5393          ,4     ,3       ,5          ,10     ,4.1879363,9           ,25046,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"          ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
8792          ,6     ,1       ,5          ,5      ,3.0020077,47          ,25040,"[10, 9, 9, 9, 10]"                       ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
8792          ,6     ,1       ,5          ,10     ,3.0020077,27          ,25040,"[3, 3, 2, 3, 3, 2, 2, 3, 3, 3]"          ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
7513          ,7     ,4       ,5          ,5      ,1.6416476,128         ,25056,"[24, 24, 26, 30, 24]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
7513          ,7     ,4       ,5          ,10     ,1.6416476,103         ,25056,"[9, 12, 13, 9, 9, 10, 11, 10, 10, 10]"   ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
7041          ,7     ,3       ,5          ,5      ,2.0353968,176         ,25036,"[32, 37, 37, 35, 35]"                    ,distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
7041          ,7     ,3       ,5          ,10     ,2.0353968,156         ,25036,"[15, 17, 18, 15, 14, 15, 17, 17, 15, 13]",distance_based_20  ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
